team,name,clutch_games,Poss,PTS,FGA,FGM,3PM,FTA,FTM,TOV,eFG
MAL,MALVIN,15,91.4,104,70,32,10,44,30,14,52.9
BIG,BIGUA,14,90.2,106,67,31,13,39,31,12,56.0
DSC,D SPORTING,13,84.8,95,66,30,8,36,27,18,51.5
UUN,URUNDAY UNIVERSITARIO,9,59.0,49,53,16,4,25,13,9,34.0
GOE,GOES,11,69.4,70,51,21,9,35,19,13,50.0
AGU,AGUADA,10,65.6,58,50,15,3,31,25,12,33.0
HYM,HEBRAICA Y MACABI,14,62.3,74,48,20,8,28,26,10,50.0
UAT,UNION ATLETICA,8,53.4,49,41,16,3,19,14,8,42.7
WEL,WELCOME,5,36.8,42,33,15,6,11,6,4,54.5
COR,CORDON,6,32.5,25,29,8,3,8,6,7,32.8
CAP,PEÑAROL,5,25.7,30,25,9,4,13,8,2,44.0
CNF,NACIONAL,5,27.0,24,24,7,3,9,7,4,35.4
