rank,personId,name,team,pos,GP,PPG,RPG,APG,qualified
1,2589974,E. Weaver,DSC,G,15,21.7,3.3,3.0,True
2,2534720,B. Beamer,COR,F,13,20.6,6.5,1.0,True
3,312957,R. Hassan,WEL,C,13,20.4,7.8,1.4,True
4,2534717,E. Clark,AGU,PF,22,19.2,6.5,1.1,True
5,2096885,A. Peña,WEL,PF,11,19.2,7.8,1.8,True
6,2534733,R. Abell,MAL,G,14,18.0,3.6,3.0,True
7,2486591,Q. Wilson,UAT,PF,19,17.8,9.0,2.1,True
8,2386709,C. Zinaich,CNF,F,16,17.8,8.4,2.1,True
9,2534746,E. Demers,UUN,G,19,17.7,2.0,1.2,True
10,2534718,J. Matos,BIG,PG,22,17.5,6.2,3.4,True
11,2324181,D. Hicks,BIG,G,22,17.4,3.0,5.1,True
12,2534734,J. Cruz,MAL,F,14,17.1,3.6,1.9,True
13,617418,S. Vescovi,CAP,PG,20,16.6,5.4,5.4,True
14,2534741,T. Prince,UAT,F,22,16.5,7.0,3.6,True
15,2321121,J. Feldeine,CNF,G,20,16.1,2.6,3.4,True
16,1314626,L. Santos,AGU,C,12,15.9,8.4,0.6,True
17,811063,N. Pomoli,CAP,PG,20,15.3,5.7,5.0,True
18,425204,A. Louis,HYM,PF,21,14.8,6.9,1.1,True
19,1642412,S. Hogan,CAP,F,21,14.6,3.7,2.5,True
20,2288279,J. Strings,GOE,C,12,14.6,8.7,1.2,True
21,1338848,M. Giano,UAT,PG,22,14.3,2.7,2.7,True
22,2603089,C. Alaekwe,UAT,PG,12,13.8,7.3,4.5,True
23,191820,F. Terra,DSC,G,22,13.4,5.0,5.5,True
24,1924909,F. Hassell,BIG,C,13,13.1,8.5,1.2,True
25,1975797,A. Ibarguen,CAP,PF,19,13.0,6.1,0.8,True
26,1871466,A. Pruitt,GOE,PF,12,12.9,8.5,2.2,True
27,2486578,A. Nation,HYM,G,18,12.3,3.8,2.7,True
28,2486580,J. Canty,HYM,C,21,12.3,8.1,1.4,True
29,1709203,E. Holt,UUN,PF,15,12.2,5.1,1.2,True
30,17628,E. Oglivie,CNF,C,12,12.2,6.0,1.3,True
31,725720,T. Metzger,DSC,PF,22,12.0,5.5,1.1,True
32,2394559,D. Zekovic,MAL,C,22,12.0,6.2,1.7,True
33,1645560,N. Martinez,MAL,PF,22,12.0,4.7,0.5,True
34,15217,F. Haller,HYM,PF,21,11.8,5.0,1.1,True
35,2534742,T. Daniels,UUN,C,19,11.8,6.6,1.8,True
36,14724,S. Vidal,AGU,G,20,11.4,3.9,7.5,True
37,1722930,P. Prieto,CNF,G,22,10.6,2.6,1.9,True
38,16511,S. Moglia,WEL,F,17,10.5,3.3,1.8,True
39,62685,S. Massa,UUN,F,22,10.3,2.4,1.3,True
40,17691,E. Serres,CAP,F,16,10.3,4.3,1.8,True
41,2413907,E. Bell,CNF,PF,14,10.1,7.1,1.1,True
42,191795,S. Ottonello,BIG,PF,22,10.0,4.8,1.5,True
43,17101,J. Santiso,AGU,G,21,9.9,4.5,6.4,True
44,1334179,F. Garcia,WEL,G,22,9.8,1.4,3.4,True
45,1567203,M. Oyenard,GOE,PG,21,9.8,4.4,2.2,True
46,43224,N. Colmenares,DSC,PF,20,9.7,8.8,1.8,True
47,1981004,D. Wright,DSC,PF,12,9.6,2.0,1.3,True
48,16857,G. Iglesias,BIG,PF,22,9.4,3.0,1.4,True
49,17554,A. Zuvich,AGU,C,22,9.2,4.5,1.1,True
50,2178363,E. Romero,CAP,C,12,9.2,5.2,0.6,True
51,15251,L. Parodi,CNF,G,21,9.1,2.9,4.8,True
52,961332,E. Bonet,GOE,PG,22,9.0,2.2,3.9,True
