personId,name,team,MIN,zone,FGA,FGM,FGpct,eFG
15259,S. Zanotta,HYM,552.9,restringida,23,9,39.1,39.1
15259,S. Zanotta,HYM,552.9,pintura,14,7,50.0,50.0
15259,S. Zanotta,HYM,552.9,media,18,10,55.6,55.6
15259,S. Zanotta,HYM,552.9,3 esquina izq,8,1,12.5,18.8
15259,S. Zanotta,HYM,552.9,3 ala izq,26,7,26.9,40.4
15259,S. Zanotta,HYM,552.9,3 frente,25,4,16.0,24.0
15259,S. Zanotta,HYM,552.9,3 ala der,33,11,33.3,50.0
15259,S. Zanotta,HYM,552.9,3 esquina der,7,4,57.1,85.7
2534733,R. Abell,MAL,448.7,restringida,50,35,70.0,70.0
2534733,R. Abell,MAL,448.7,pintura,20,10,50.0,50.0
2534733,R. Abell,MAL,448.7,media,25,13,52.0,52.0
2534733,R. Abell,MAL,448.7,3 esquina izq,8,2,25.0,37.5
2534733,R. Abell,MAL,448.7,3 ala izq,27,7,25.9,38.9
2534733,R. Abell,MAL,448.7,3 frente,28,5,17.9,26.8
2534733,R. Abell,MAL,448.7,3 ala der,30,12,40.0,60.0
2534733,R. Abell,MAL,448.7,3 esquina der,8,1,12.5,18.8
1430994,J. Rodriguez,AGU,411.1,restringida,37,23,62.2,62.2
1430994,J. Rodriguez,AGU,411.1,pintura,26,13,50.0,50.0
1430994,J. Rodriguez,AGU,411.1,media,2,1,50.0,50.0
1430994,J. Rodriguez,AGU,411.1,3 esquina izq,14,10,71.4,107.1
1430994,J. Rodriguez,AGU,411.1,3 ala izq,27,8,29.6,44.4
1430994,J. Rodriguez,AGU,411.1,3 frente,8,1,12.5,18.8
1430994,J. Rodriguez,AGU,411.1,3 ala der,22,6,27.3,40.9
1430994,J. Rodriguez,AGU,411.1,3 esquina der,8,3,37.5,56.2
2324181,D. Hicks,BIG,719.4,restringida,29,22,75.9,75.9
2324181,D. Hicks,BIG,719.4,pintura,112,56,50.0,50.0
2324181,D. Hicks,BIG,719.4,media,19,9,47.4,47.4
2324181,D. Hicks,BIG,719.4,3 esquina izq,3,2,66.7,100.0
2324181,D. Hicks,BIG,719.4,3 ala izq,26,13,50.0,75.0
2324181,D. Hicks,BIG,719.4,3 frente,39,18,46.2,69.2
2324181,D. Hicks,BIG,719.4,3 ala der,35,19,54.3,81.4
2324181,D. Hicks,BIG,719.4,3 esquina der,6,5,83.3,125.0
725720,T. Metzger,DSC,546.9,restringida,43,32,74.4,74.4
725720,T. Metzger,DSC,546.9,pintura,36,16,44.4,44.4
725720,T. Metzger,DSC,546.9,media,13,7,53.8,53.8
725720,T. Metzger,DSC,546.9,3 esquina izq,8,3,37.5,56.2
725720,T. Metzger,DSC,546.9,3 ala izq,32,7,21.9,32.8
725720,T. Metzger,DSC,546.9,3 frente,13,5,38.5,57.7
725720,T. Metzger,DSC,546.9,3 ala der,47,20,42.6,63.8
725720,T. Metzger,DSC,546.9,3 esquina der,21,9,42.9,64.3
17379,P. Rusch,COR,510.4,restringida,6,2,33.3,33.3
17379,P. Rusch,COR,510.4,pintura,6,3,50.0,50.0
17379,P. Rusch,COR,510.4,media,17,8,47.1,47.1
17379,P. Rusch,COR,510.4,3 esquina izq,7,4,57.1,85.7
17379,P. Rusch,COR,510.4,3 ala izq,17,5,29.4,44.1
17379,P. Rusch,COR,510.4,3 frente,19,7,36.8,55.3
17379,P. Rusch,COR,510.4,3 ala der,13,5,38.5,57.7
17379,P. Rusch,COR,510.4,3 esquina der,6,2,33.3,50.0
2617486,W. Reed,BIG,226.5,restringida,30,20,66.7,66.7
2617486,W. Reed,BIG,226.5,pintura,24,14,58.3,58.3
2617486,W. Reed,BIG,226.5,media,7,2,28.6,28.6
2321121,J. Feldeine,CNF,509.9,restringida,42,24,57.1,57.1
2321121,J. Feldeine,CNF,509.9,pintura,47,24,51.1,51.1
2321121,J. Feldeine,CNF,509.9,media,35,19,54.3,54.3
2321121,J. Feldeine,CNF,509.9,3 esquina izq,6,1,16.7,25.0
2321121,J. Feldeine,CNF,509.9,3 ala izq,27,6,22.2,33.3
