personId,name,team,pos,MIN,GP,Poss_on,ORtg_on,DRtg_on,Net_on,Poss_off,ORtg_off,DRtg_off,Net_off,on_off,qualified
2255313,V. Andrade,COR,C,212.5,6,427,100.6,117.1,-16.5,59,84.3,136.1,-51.7,35.2,False
2620614,A. Spruill,COR,G,290.5,8,581,94.5,115.0,-20.5,67,89.7,143.2,-53.5,33.0,False
617418,S. Vescovi,CAP,PG,560.9,20,1088,123.5,94.9,28.6,458,100.7,101.0,-0.2,28.8,True
1722930,P. Prieto,CNF,G,489.6,22,1016,116.6,97.3,19.4,795,106.4,106.4,0.0,19.3,True
2413907,E. Bell,CNF,PF,318.4,14,643,118.9,99.7,19.1,499,107.6,105.8,1.8,17.3,True
1924909,F. Hassell,BIG,C,329.2,13,643,113.3,109.2,4.1,390,103.6,116.1,-12.6,16.6,True
2261706,S. Conceicao,GOE,C,264.1,10,522,105.5,108.1,-2.6,270,100.7,118.4,-17.8,15.2,True
43252,M. Sarni,UUN,G,611.5,22,1139,116.7,108.6,8.1,529,104.5,110.8,-6.3,14.4,True
1942261,M. Espinosa,BIG,G,441.6,21,822,115.3,108.8,6.5,765,109.5,117.0,-7.6,14.1,True
1338848,M. Giano,UAT,PG,746.1,22,1429,108.7,106.5,2.2,268,101.9,113.5,-11.7,13.8,True
1567203,M. Oyenard,GOE,PG,471.5,21,928,106.3,111.3,-4.9,733,100.2,119.0,-18.7,13.8,True
2534733,R. Abell,MAL,G,448.7,14,849,109.9,106.4,3.5,218,95.9,105.3,-9.4,12.9,True
15217,F. Haller,HYM,PF,380.9,21,750,114.2,104.1,10.2,903,105.8,108.3,-2.5,12.7,True
15257,F. Medina,COR,G,473.6,21,961,102.4,115.3,-12.9,745,95.0,120.3,-25.3,12.4,True
17691,E. Serres,CAP,F,361.7,16,697,116.3,89.1,27.3,554,112.2,97.2,15.0,12.3,True
2534720,B. Beamer,COR,F,393.8,13,790,107.5,119.6,-12.1,262,90.8,114.4,-23.6,11.4,True
16511,S. Moglia,WEL,F,427.8,17,879,100.6,119.3,-18.8,501,97.4,127.6,-30.2,11.4,True
17046,M. Zubiaurre,DSC,G,408.3,22,776,120.1,112.9,7.2,914,106.1,110.0,-3.9,11.1,True
909792,A. Arevalo,WEL,F,251.6,11,504,98.1,108.7,-10.6,391,99.7,121.1,-21.4,10.8,True
2486591,Q. Wilson,UAT,PF,623.2,19,1190,107.8,106.6,1.3,273,97.5,106.4,-9.0,10.3,True
17669,G. Espindola,CNF,F,483.9,22,992,111.1,95.7,15.5,819,113.4,108.2,5.2,10.3,True
1723827,M. Mac Mullen,DSC,PG,236.5,22,450,116.7,108.2,8.4,1240,111.0,112.4,-1.4,9.9,True
1430994,J. Rodriguez,AGU,F,411.1,22,825,117.5,105.5,12.0,931,113.1,110.6,2.5,9.5,True
2399946,J. Webster,MAL,PG,262.0,8,482,114.7,109.4,5.3,102,102.3,105.5,-3.1,8.4,False
16717,G. Semiglia,HYM,F,351.8,16,702,112.0,107.6,4.5,562,103.8,107.7,-3.9,8.3,True
2619167,T. Cracknell,GOE,PG,312.9,9,610,101.7,107.4,-5.7,101,98.2,111.5,-13.3,7.6,False
16739,G. Barrera,WEL,G,476.3,20,953,97.2,112.4,-15.2,678,99.7,122.2,-22.4,7.2,True
1645559,J. Stoll,WEL,G,296.2,22,611,97.6,110.0,-12.4,1177,100.2,119.9,-19.6,7.2,True
191820,F. Terra,DSC,G,642.0,22,1242,113.0,109.9,3.2,448,111.1,115.0,-4.0,7.1,True
1871466,A. Pruitt,GOE,PF,400.9,12,778,103.6,113.7,-10.1,172,97.5,114.5,-17.1,7.0,False
1987397,J. Josiah,GOE,PG,218.1,8,423,107.9,112.8,-4.8,206,103.1,114.2,-11.1,6.3,True
2534746,E. Demers,UUN,G,492.5,19,914,115.3,109.6,5.7,519,102.8,103.3,-0.5,6.2,True
811063,N. Pomoli,CAP,PG,514.8,20,1001,117.5,94.4,23.1,551,113.5,96.3,17.2,5.9,True
2074488,M. Benitez,UUN,PF,380.9,20,699,114.5,110.8,3.7,801,107.7,109.7,-2.1,5.8,True
1975797,A. Ibarguen,CAP,PF,454.8,19,879,118.6,95.8,22.8,587,110.5,93.3,17.2,5.6,True
43224,N. Colmenares,DSC,PF,506.8,20,974,111.6,109.7,2.0,563,110.4,113.5,-3.1,5.1,True
983931,T. Leites,COR,F,509.8,22,1018,99.1,114.8,-15.7,760,100.3,120.9,-20.6,4.8,True
208488,J. Ducasse,UAT,F,608.8,22,1177,108.5,107.2,1.3,521,105.6,108.6,-3.0,4.3,True
968070,G. Souza,UAT,F,321.7,13,608,109.1,104.4,4.7,396,110.3,109.6,0.6,4.1,True
1314626,L. Santos,AGU,C,327.3,12,642,116.6,109.3,7.3,302,106.5,103.2,3.3,4.0,True
2288279,J. Strings,GOE,C,379.6,12,745,102.1,112.6,-10.4,205,103.7,118.2,-14.4,4.0,True
961332,E. Bonet,GOE,PG,551.2,22,1076,105.1,113.3,-8.2,667,99.9,112.1,-12.2,3.9,True
999249,M. Bianchi,DSC,PF,427.0,22,812,111.1,108.1,3.0,878,113.8,114.4,-0.6,3.6,True
1645560,N. Martinez,MAL,PF,560.4,22,1050,109.2,106.0,3.2,601,108.7,109.0,-0.4,3.5,True
1714808,B. Curadossi,UUN,PG,404.2,22,767,115.0,109.7,5.4,902,110.9,109.0,1.9,3.4,True
17110,O. Medina,MAL,F,300.4,22,569,108.6,104.9,3.7,1082,109.2,108.2,1.0,2.7,True
17554,A. Zuvich,AGU,C,432.9,22,862,116.4,108.1,8.3,893,114.0,108.3,5.7,2.6,True
1709203,E. Holt,UUN,PF,383.7,15,743,116.0,108.4,7.6,445,114.7,109.7,5.0,2.6,True
15259,S. Zanotta,HYM,G,552.9,21,1089,109.3,105.2,4.1,564,110.3,108.6,1.7,2.5,True
