team,name,pos,GP,GS,MIN,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
COR,A. Glider,PG,3,3,32.9,24.3,8.7,20.3,6.0,12.3,2.7,8.0,4.3,6.3,1.0,6.7,7.7,4.7,3.3,0.7,2.0,2.7
COR,A. Gilder Jr.,PG,3,3,31.0,24.0,8.7,17.3,6.0,10.3,2.7,7.0,4.0,6.3,1.7,4.0,5.7,2.0,1.0,0.7,3.0,2.0
DSC,E. Weaver,G,15,14,31.4,21.7,7.8,13.5,5.1,7.4,2.7,6.1,3.5,4.7,0.1,3.2,3.3,3.0,1.9,0.1,3.0,2.0
HYM,M. Henry,F,3,3,28.0,21.0,6.7,12.0,5.7,8.7,1.0,3.3,6.7,8.0,1.3,4.7,6.0,3.7,1.3,0.7,2.0,2.3
COR,R. Perry,G,1,0,30.3,21.0,8.0,16.0,6.0,10.0,2.0,6.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,5.0,3.0
COR,B. Beamer,F,13,13,30.3,20.6,7.8,14.8,6.0,9.3,1.8,5.5,3.3,4.5,2.4,4.1,6.5,1.0,0.8,0.2,1.8,2.9
WEL,R. Hassan,C,13,13,32.2,20.4,8.8,14.8,8.3,12.8,0.5,2.1,2.4,3.8,1.4,6.5,7.8,1.4,0.4,0.3,2.3,1.5
COR,A. Gilder Jr,,1,0,22.8,20.0,7.0,14.0,3.0,4.0,4.0,10.0,2.0,5.0,1.0,5.0,6.0,6.0,4.0,0.0,2.0,3.0
AGU,E. Clark,PF,22,22,30.4,19.2,6.9,14.3,4.8,9.3,2.1,5.0,3.4,4.1,0.8,5.6,6.5,1.1,0.6,1.2,2.1,1.9
WEL,A. Peña,PF,11,11,33.4,19.2,6.9,12.4,6.6,10.7,0.3,1.6,5.1,6.5,2.2,5.6,7.8,1.8,1.2,0.6,1.5,1.7
MAL,R. Abell,G,14,14,32.0,18.0,6.1,14.0,4.1,6.8,1.9,7.2,3.9,6.1,0.7,2.9,3.6,3.0,0.7,0.1,1.7,1.0
UAT,Q. Wilson,PF,19,18,32.8,17.8,6.9,12.4,6.9,12.1,0.1,0.3,3.9,4.8,2.9,6.1,9.0,2.1,0.8,0.8,1.7,2.6
CNF,C. Zinaich,F,16,11,27.1,17.8,6.4,11.0,5.8,9.1,0.6,1.9,4.3,6.1,2.1,6.3,8.4,2.1,1.7,1.6,2.1,2.1
AGU,D. Sims,PG,8,7,26.8,17.8,5.8,10.6,3.2,5.5,2.5,5.1,3.8,4.1,0.2,1.1,1.4,4.0,1.0,0.1,2.2,1.6
UUN,E. Demers,G,19,18,25.9,17.7,6.1,13.1,2.7,4.8,3.4,8.3,2.3,3.0,0.3,1.7,2.0,1.2,1.2,0.1,1.3,1.7
BIG,J. Matos,PG,22,22,29.4,17.5,6.1,15.0,3.9,8.7,2.2,6.3,3.1,3.9,1.1,5.1,6.2,3.4,1.5,0.2,2.6,2.5
BIG,D. Hicks,G,22,21,32.7,17.4,6.5,12.2,4.0,7.3,2.6,5.0,1.7,2.0,0.8,2.2,3.0,5.1,1.4,0.3,2.2,2.2
COR,A. Spruill,G,8,8,36.3,17.2,6.5,16.8,4.9,10.0,1.6,6.8,2.6,3.5,1.4,5.0,6.4,2.6,0.9,0.5,3.1,1.2
MAL,J. Cruz,F,14,14,30.8,17.1,6.3,15.3,4.3,9.1,2.0,6.1,2.6,3.3,1.2,2.4,3.6,1.9,1.4,0.1,2.4,2.1
GOE,T. Cracknell,PG,9,9,34.8,16.8,5.1,13.4,3.1,8.1,2.0,5.3,4.6,6.0,1.1,3.3,4.4,4.3,1.1,0.1,1.3,2.8
