personId,team,name,pos,GP,GS,MIN,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2534717,AGU,E. Clark,PF,22,22,668.9,422,151,314,105,204,46,110,74,90,18,124,142,25,13,26,46,41
2534718,BIG,J. Matos,PG,22,22,647.5,385,134,330,86,192,48,138,69,85,24,112,136,75,34,5,58,55
2324181,BIG,D. Hicks,G,22,21,719.4,382,144,269,87,160,57,109,37,44,17,49,66,112,30,6,49,49
2534741,UAT,T. Prince,F,22,22,758.7,362,134,247,115,171,19,76,75,97,53,100,153,80,32,19,41,61
2486591,UAT,Q. Wilson,PF,19,18,623.2,339,132,235,131,229,1,6,74,92,56,115,171,40,15,15,33,49
2534746,UUN,E. Demers,G,19,18,492.5,337,115,249,51,92,64,157,43,57,5,33,38,22,22,2,25,33
617418,CAP,S. Vescovi,PG,20,20,560.9,331,103,210,50,85,53,125,72,99,17,91,108,108,36,6,58,33
2589974,DSC,E. Weaver,G,15,14,470.9,326,117,202,77,111,40,91,52,71,2,48,50,45,28,2,45,30
2321121,CNF,J. Feldeine,G,20,19,509.9,323,108,243,67,124,41,119,66,83,4,48,52,67,27,2,28,35
1338848,UAT,M. Giano,PG,22,22,746.1,314,106,227,63,117,43,110,59,76,13,46,59,59,36,1,50,63
425204,HYM,A. Louis,PF,21,21,560.1,310,118,268,85,177,33,91,41,69,42,102,144,24,32,9,48,70
1642412,CAP,S. Hogan,F,21,21,602.1,307,132,240,101,172,31,68,12,20,29,49,78,52,29,3,27,48
811063,CAP,N. Pomoli,PG,20,19,514.8,306,103,249,60,134,43,115,57,94,25,88,113,100,31,4,46,54
191820,DSC,F. Terra,G,22,20,642.0,294,93,248,59,147,34,101,74,103,15,95,110,122,30,3,64,50
2386709,CNF,C. Zinaich,F,16,11,433.4,285,103,176,93,146,10,30,69,98,33,101,134,33,27,26,34,34
2534720,COR,B. Beamer,F,13,13,393.8,268,101,193,78,121,23,72,43,58,31,53,84,13,10,2,24,38
725720,DSC,T. Metzger,PF,22,6,546.9,265,99,213,55,92,44,121,23,33,34,87,121,24,7,2,23,33
312957,WEL,R. Hassan,C,13,13,418.8,265,114,193,108,166,6,27,31,49,18,84,102,18,5,4,30,20
2394559,MAL,D. Zekovic,C,22,17,566.0,264,99,206,72,121,27,85,39,43,28,108,136,37,14,9,25,56
1645560,MAL,N. Martinez,PF,22,7,560.4,264,92,196,64,116,28,80,52,81,31,72,103,12,16,27,26,44
2486580,HYM,J. Canty,C,21,21,572.8,259,112,200,112,200,0,0,35,58,63,107,170,30,20,31,17,54
2534733,MAL,R. Abell,G,14,14,448.7,252,85,196,58,95,27,101,55,85,10,41,51,42,10,1,24,14
15217,HYM,F. Haller,PF,21,0,380.9,248,92,175,75,134,17,41,47,56,24,80,104,23,9,5,23,44
1975797,CAP,A. Ibarguen,PF,19,19,454.8,247,103,154,103,151,0,3,41,55,49,67,116,15,12,3,23,33
2534734,MAL,J. Cruz,F,14,14,431.8,240,88,214,60,128,28,86,36,46,17,34,51,27,19,2,34,30
1722930,CNF,P. Prieto,G,22,18,489.6,234,85,188,42,79,43,109,21,27,13,45,58,41,42,3,15,57
14724,AGU,S. Vidal,G,20,19,540.5,228,77,167,32,76,45,91,29,36,13,64,77,151,42,0,56,36
62685,UUN,S. Massa,F,22,7,495.4,227,79,193,34,61,45,132,24,39,15,37,52,29,23,10,18,44
2534742,UUN,T. Daniels,C,19,19,447.4,224,82,126,70,95,12,31,48,71,46,80,126,34,9,6,31,31
2486578,HYM,A. Nation,G,18,18,491.9,221,84,181,60,112,24,69,29,45,18,50,68,48,16,11,48,49
191795,BIG,S. Ottonello,PF,22,0,439.1,220,83,165,73,132,10,33,44,57,34,72,106,32,14,8,27,66
1334179,WEL,F. Garcia,G,22,6,511.5,216,72,178,27,64,45,114,27,34,4,27,31,74,23,2,40,44
2096885,WEL,A. Peña,PF,11,11,366.9,211,76,136,73,118,3,18,56,72,24,62,86,20,13,7,16,19
17101,AGU,J. Santiso,G,21,17,592.6,207,68,184,40,88,28,96,43,59,11,83,94,134,16,1,55,37
16857,BIG,G. Iglesias,PF,22,22,520.4,206,70,168,32,66,38,102,28,35,10,56,66,31,11,7,26,29
1567203,GOE,M. Oyenard,PG,21,12,471.5,205,82,162,69,118,13,44,28,35,38,55,93,46,14,10,28,53
17554,AGU,A. Zuvich,C,22,4,432.9,202,70,119,64,96,6,23,56,69,37,63,100,24,14,5,23,66
961332,GOE,E. Bonet,PG,22,14,551.2,197,75,194,55,112,20,82,27,43,14,35,49,86,20,1,38,69
1430994,AGU,J. Rodriguez,F,22,3,411.1,194,65,144,37,65,28,79,36,55,11,47,58,28,25,9,31,54
43224,DSC,N. Colmenares,PF,20,19,506.8,193,88,140,88,140,0,0,17,47,61,115,176,36,21,9,29,59
15251,CNF,L. Parodi,G,21,20,498.2,191,66,165,35,79,31,86,28,42,16,45,61,101,33,0,50,55
1314626,AGU,L. Santos,C,12,12,327.3,191,72,107,68,99,4,8,43,62,30,71,101,7,8,20,14,22
43252,UUN,M. Sarni,G,22,22,611.5,190,67,171,49,125,18,46,38,58,35,64,99,211,57,0,55,53
15257,COR,F. Medina,G,21,4,473.6,185,63,158,40,84,23,74,36,54,14,22,36,67,12,4,52,42
