matchId,team,opp,quarter,pf,pa,FGA,FGM,3PM,eFG
2741411,HYM,UAT,Q1,11,16,18,5,0,27.8
2741411,HYM,UAT,Q2,20,21,21,8,1,40.5
2741411,HYM,UAT,Q3,34,19,19,13,3,76.3
2741411,HYM,UAT,Q4,19,25,19,7,3,44.7
2741411,UAT,HYM,Q1,16,11,21,7,2,38.1
2741411,UAT,HYM,Q2,21,20,16,8,1,53.1
2741411,UAT,HYM,Q3,19,34,14,5,3,46.4
2741411,UAT,HYM,Q4,25,19,18,9,4,61.1
2741417,UUN,WEL,Q1,27,22,33,12,3,40.9
2741417,UUN,WEL,Q2,29,27,20,9,3,52.5
2741417,UUN,WEL,Q3,31,13,21,12,2,61.9
2741417,UUN,WEL,Q4,26,11,21,11,2,57.1
2741417,WEL,UUN,Q1,22,27,15,7,2,53.3
2741417,WEL,UUN,Q2,27,29,13,8,1,65.4
2741417,WEL,UUN,Q3,13,31,16,5,1,34.4
2741417,WEL,UUN,Q4,11,26,16,5,0,31.2
2741419,BIG,AGU,Q1,23,17,19,8,4,52.6
2741419,BIG,AGU,Q2,18,29,14,7,0,50.0
2741419,BIG,AGU,Q3,25,22,16,10,3,71.9
2741419,BIG,AGU,Q4,21,22,17,8,3,55.9
2741419,AGU,BIG,Q1,17,23,19,7,3,44.7
2741419,AGU,BIG,Q2,29,18,21,12,5,69.0
2741419,AGU,BIG,Q3,22,25,21,7,0,33.3
2741419,AGU,BIG,Q4,22,21,17,6,2,41.2
2741421,DSC,GOE,Q1,25,24,21,10,3,54.8
2741421,DSC,GOE,Q2,27,23,15,9,2,66.7
2741421,DSC,GOE,Q3,21,20,19,7,2,42.1
2741421,DSC,GOE,Q4,29,24,17,9,4,64.7
2741421,GOE,DSC,Q1,24,25,17,10,3,67.6
2741421,GOE,DSC,Q2,23,27,21,8,5,50.0
2741421,GOE,DSC,Q3,20,21,20,8,3,47.5
2741421,GOE,DSC,Q4,24,29,16,9,2,62.5
2741413,MAL,COR,Q1,25,14,21,11,1,54.8
2741413,MAL,COR,Q2,24,26,20,9,1,47.5
2741413,MAL,COR,Q3,17,21,16,6,1,40.6
2741413,MAL,COR,Q4,19,17,21,7,1,35.7
2741413,COR,MAL,Q1,14,25,17,6,0,35.3
2741413,COR,MAL,Q2,26,24,16,9,4,68.8
2741413,COR,MAL,Q3,21,17,17,6,4,47.1
2741413,COR,MAL,Q4,17,19,19,7,1,39.5
2741427,AGU,UUN,Q1,24,22,17,9,1,55.9
2741427,AGU,UUN,Q2,35,22,16,10,4,75.0
2741427,AGU,UUN,Q3,27,27,17,10,5,73.5
2741427,AGU,UUN,Q4,32,34,15,10,4,80.0
2741427,UUN,AGU,Q1,22,24,18,9,4,61.1
2741427,UUN,AGU,Q2,22,35,16,7,1,46.9
2741427,UUN,AGU,Q3,27,27,19,11,4,68.4
2741427,UUN,AGU,Q4,34,32,25,13,5,62.0
2741423,DSC,HYM,Q1,23,23,19,9,3,55.3
2741423,DSC,HYM,Q2,24,21,14,7,2,57.1
2741423,DSC,HYM,Q3,27,17,16,10,4,75.0
2741423,DSC,HYM,Q4,24,23,14,8,1,60.7
2741423,HYM,DSC,Q1,23,23,20,8,3,47.5
2741423,HYM,DSC,Q2,21,24,14,8,3,67.9
2741423,HYM,DSC,Q3,17,27,16,6,3,46.9
2741423,HYM,DSC,Q4,23,24,18,10,3,63.9
2741415,CNF,CAP,Q1,13,17,22,5,1,25.0
2741415,CNF,CAP,Q2,17,26,18,7,1,41.7
2741415,CNF,CAP,Q3,15,20,15,5,0,33.3
2741415,CNF,CAP,Q4,17,24,17,6,2,41.2
2741415,CAP,CNF,Q1,17,13,15,6,2,46.7
2741415,CAP,CNF,Q2,26,17,17,9,3,61.8
2741415,CAP,CNF,Q3,20,15,16,7,1,46.9
2741415,CAP,CNF,Q4,24,17,16,8,5,65.6
2741425,GOE,BIG,Q1,18,16,18,6,1,36.1
2741425,GOE,BIG,Q2,22,26,15,7,2,53.3
2741425,GOE,BIG,Q3,20,24,13,7,3,65.4
2741425,GOE,BIG,Q4,22,23,16,6,3,46.9
2741425,BIG,GOE,Q1,16,18,19,7,2,42.1
2741425,BIG,GOE,Q2,26,22,22,10,3,52.3
2741425,BIG,GOE,Q3,24,20,18,10,2,61.1
2741425,BIG,GOE,Q4,23,22,11,8,2,81.8
2741414,COR,UAT,Q1,20,25,20,7,3,42.5
2741414,COR,UAT,Q2,23,29,21,9,0,42.9
2741414,COR,UAT,Q3,22,25,20,9,3,52.5
2741414,COR,UAT,Q4,19,25,21,8,2,42.9
2741414,UAT,COR,Q1,25,20,25,10,2,44.0
2741414,UAT,COR,Q2,29,23,25,10,3,46.0
2741414,UAT,COR,Q3,25,22,14,9,3,75.0
2741414,UAT,COR,Q4,25,19,19,11,2,63.2
2741429,WEL,CNF,Q1,23,32,18,9,3,58.3
2741429,WEL,CNF,Q2,24,23,17,8,0,47.1
2741429,WEL,CNF,Q3,27,34,19,11,4,68.4
2741429,WEL,CNF,Q4,32,28,21,11,3,59.5
2741429,CNF,WEL,Q1,32,23,20,12,4,70.0
2741429,CNF,WEL,Q2,23,24,13,7,2,61.5
2741429,CNF,WEL,Q3,34,27,20,14,3,77.5
2741429,CNF,WEL,Q4,28,32,18,9,5,63.9
2741412,CAP,MAL,Q1,22,25,20,8,2,45.0
2741412,CAP,MAL,Q2,21,20,21,9,2,47.6
2741412,CAP,MAL,Q3,26,22,14,8,3,67.9
2741412,CAP,MAL,Q4,20,12,11,8,0,72.7
2741412,MAL,CAP,Q1,25,22,16,9,4,68.8
2741412,MAL,CAP,Q2,20,21,17,8,1,50.0
2741412,MAL,CAP,Q3,22,26,14,8,3,67.9
2741412,MAL,CAP,Q4,12,20,12,4,2,41.7
2741426,BIG,DSC,Q1,27,26,17,11,5,79.4
2741426,BIG,DSC,Q2,30,16,17,10,3,67.6
2741426,BIG,DSC,Q3,16,25,17,6,0,35.3
2741426,BIG,DSC,Q4,18,23,19,8,1,44.7
2741426,DSC,BIG,Q1,26,27,18,11,1,63.9
2741426,DSC,BIG,Q2,16,30,14,5,4,50.0
2741426,DSC,BIG,Q3,25,16,19,11,2,63.2
2741426,DSC,BIG,Q4,23,18,20,8,2,45.0
2741416,HYM,COR,Q1,25,16,21,9,4,52.4
2741416,HYM,COR,Q2,21,19,15,9,3,70.0
2741416,HYM,COR,Q3,17,24,18,4,3,30.6
2741416,HYM,COR,Q4,17,17,12,6,2,58.3
2741416,COR,HYM,Q1,16,25,16,6,2,43.8
2741416,COR,HYM,Q2,19,21,10,5,0,50.0
2741416,COR,HYM,Q3,24,17,17,9,3,61.8
2741416,COR,HYM,Q4,17,17,19,6,3,39.5
2741424,UUN,GOE,Q1,25,19,16,8,2,56.2
2741424,UUN,GOE,Q2,19,17,19,8,2,47.4
2741424,UUN,GOE,Q3,31,16,20,11,3,62.5
2741424,UUN,GOE,Q4,22,22,18,8,2,50.0
2741424,GOE,UUN,Q1,19,25,17,9,1,55.9
2741424,GOE,UUN,Q2,17,19,15,5,0,33.3
2741424,GOE,UUN,Q3,16,31,15,5,2,40.0
2741424,GOE,UUN,Q4,22,22,16,7,3,53.1
2741430,DSC,UUN,Q1,27,17,16,11,3,78.1
2741430,DSC,UUN,Q2,23,33,15,6,3,50.0
2741430,DSC,UUN,Q3,20,21,11,7,0,63.6
