personId,name,rank,match_personId,match_name,match_team,match_pos,dist
2577763,A. Gilder Jr.,1,2534718,J. Matos,BIG,PG,13.6
2577763,A. Gilder Jr.,2,811063,N. Pomoli,CAP,PG,14.9
2577763,A. Gilder Jr.,3,617418,S. Vescovi,CAP,PG,17.0
2577763,A. Gilder Jr.,4,1714808,B. Curadossi,UUN,PG,23.0
2577763,A. Gilder Jr.,5,1430994,J. Rodriguez,AGU,F,23.8
2577763,A. Gilder Jr.,6,2386709,C. Zinaich,CNF,F,24.0
2577763,A. Gilder Jr.,7,1987397,J. Josiah,GOE,PG,24.2
2577763,A. Gilder Jr.,8,191795,S. Ottonello,BIG,PF,24.4
2577763,A. Gilder Jr.,9,2534741,T. Prince,UAT,F,24.7
2577763,A. Gilder Jr.,10,191820,F. Terra,DSC,G,25.3
2577763,A. Gilder Jr.,11,1765563,A. Moller,UUN,F,27.2
2577763,A. Gilder Jr.,12,2096885,A. Peña,WEL,PF,27.9
2589974,E. Weaver,1,701864,D. Sims,AGU,PG,21.4
2589974,E. Weaver,2,2321121,J. Feldeine,CNF,G,23.6
2589974,E. Weaver,3,2534746,E. Demers,UUN,G,23.6
2589974,E. Weaver,4,1989296,T. Rodriguez,BIG,G,24.2
2589974,E. Weaver,5,1338848,M. Giano,UAT,PG,24.4
2589974,E. Weaver,6,1430994,J. Rodriguez,AGU,F,25.8
2589974,E. Weaver,7,2324181,D. Hicks,BIG,G,27.3
2589974,E. Weaver,8,617418,S. Vescovi,CAP,PG,27.4
2589974,E. Weaver,9,16511,S. Moglia,WEL,F,29.4
2589974,E. Weaver,10,2399946,J. Webster,MAL,PG,29.6
2589974,E. Weaver,11,1334179,F. Garcia,WEL,G,29.8
2589974,E. Weaver,12,14724,S. Vidal,AGU,G,30.7
2534746,E. Demers,1,2589974,E. Weaver,DSC,G,23.6
2534746,E. Demers,2,1338848,M. Giano,UAT,PG,24.0
2534746,E. Demers,3,2534734,J. Cruz,MAL,F,25.6
2534746,E. Demers,4,1989296,T. Rodriguez,BIG,G,27.1
2534746,E. Demers,5,16511,S. Moglia,WEL,F,28.6
2534746,E. Demers,6,62685,S. Massa,UUN,F,28.9
2534746,E. Demers,7,701864,D. Sims,AGU,PG,29.3
2534746,E. Demers,8,571401,X. Couste,GOE,F,29.4
2534746,E. Demers,9,2321121,J. Feldeine,CNF,G,29.6
2534746,E. Demers,10,16807,A. Lopez,UAT,SG,30.0
2534746,E. Demers,11,1430994,J. Rodriguez,AGU,F,30.3
2534746,E. Demers,12,1642412,S. Hogan,CAP,F,30.5
2534720,B. Beamer,1,1975797,A. Ibarguen,CAP,PF,15.9
2534720,B. Beamer,2,312957,R. Hassan,WEL,C,18.0
2534720,B. Beamer,3,725720,T. Metzger,DSC,PF,19.7
2534720,B. Beamer,4,15217,F. Haller,HYM,PF,19.9
2534720,B. Beamer,5,17554,A. Zuvich,AGU,C,22.8
2534720,B. Beamer,6,17628,E. Oglivie,CNF,C,23.1
2534720,B. Beamer,7,2096885,A. Peña,WEL,PF,23.5
2534720,B. Beamer,8,191795,S. Ottonello,BIG,PF,24.2
2534720,B. Beamer,9,1987397,J. Josiah,GOE,PG,24.2
2534720,B. Beamer,10,17691,E. Serres,CAP,F,24.3
2534720,B. Beamer,11,1709203,E. Holt,UUN,PF,24.7
2534720,B. Beamer,12,1645560,N. Martinez,MAL,PF,25.1
701864,D. Sims,1,2324181,D. Hicks,BIG,G,18.5
701864,D. Sims,2,2589974,E. Weaver,DSC,G,21.4
701864,D. Sims,3,2399946,J. Webster,MAL,PG,21.7
701864,D. Sims,4,2321121,J. Feldeine,CNF,G,22.0
