code,name,GP,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
CNF,NACIONAL,22,92.3,33.1,71.5,23.1,42.8,10.0,28.7,16.0,24.0,12.7,27.6,40.3,18.8,10.2,2.5,13.0,21.7
AGU,AGUADA,22,91.9,32.0,66.9,21.3,38.6,10.7,28.3,17.1,22.4,10.6,29.4,40.0,20.9,7.6,3.5,13.7,19.4
CAP,PEÑAROL,21,90.0,33.0,66.7,23.0,40.4,10.0,26.2,13.9,21.0,12.8,30.8,43.6,21.5,8.0,2.2,14.2,18.4
UUN,URUNDAY UNIVERSITARIO,22,88.9,32.5,70.9,22.0,39.9,10.5,31.0,13.5,21.3,15.2,26.6,41.9,21.8,9.4,2.3,14.5,22.5
BIG,BIGUA,22,88.4,32.4,70.3,22.0,41.5,10.4,28.8,13.2,18.3,10.7,26.7,37.4,18.5,7.0,2.8,11.8,19.3
DSC,D SPORTING,22,86.5,31.8,67.1,22.5,40.5,9.2,26.6,13.7,19.8,11.6,27.2,38.9,17.5,7.2,2.3,12.7,19.5
HYM,HEBRAICA Y MACABI,21,86.3,31.8,70.7,23.0,44.2,8.8,26.5,13.9,19.8,14.4,28.8,43.1,19.4,7.9,3.4,13.7,21.8
UAT,UNION ATLETICA,22,83.0,30.0,67.3,21.6,38.8,8.5,28.5,14.5,19.1,10.5,28.4,38.8,15.8,7.0,3.0,11.9,19.2
MAL,MALVIN,22,81.8,29.6,67.0,20.2,38.1,9.4,28.8,13.2,19.3,12.6,27.4,40.0,15.4,6.4,2.3,12.2,17.5
GOE,GOES,22,81.7,29.2,69.8,18.8,39.1,10.4,30.7,13.0,18.3,10.8,27.1,37.9,16.6,6.5,3.4,12.1,20.0
WEL,WELCOME,22,80.7,29.6,66.7,20.7,38.1,8.9,28.6,12.6,17.8,7.1,27.0,34.0,19.0,7.4,2.0,13.8,20.0
COR,CORDON,22,80.5,29.9,67.9,22.2,42.4,7.6,25.5,13.1,20.5,11.9,25.6,37.5,18.0,6.7,2.9,15.8,21.0
