code,name,GP,ORtg,DRtg,NetRtg,Pace,eFG%,TOV%,ORB%,FTR,D_eFG%,D_TOV%,DRB%,D_FTR
CAP,PEÑAROL,21,116.3,95.6,20.8,77.3,57.1,15.8,35.4,20.8,47.0,15.7,76.4,19.1
CNF,NACIONAL,22,112.2,101.3,10.9,82.3,53.3,13.7,30.7,22.4,51.6,18.8,70.5,21.1
AGU,AGUADA,22,115.2,108.2,7.0,79.8,55.9,15.1,28.9,25.5,51.1,13.4,70.3,17.9
HYM,HEBRAICA Y MACABI,21,109.6,106.4,3.2,78.7,51.2,14.7,35.4,19.7,51.3,14.8,74.0,25.9
UUN,URUNDAY UNIVERSITARIO,22,111.8,109.3,2.5,79.5,53.1,15.3,37.1,19.1,54.3,16.1,71.4,24.4
MAL,MALVIN,22,109.0,107.1,1.9,75.0,51.2,13.9,31.9,19.7,51.4,14.1,70.9,16.4
DSC,D SPORTING,22,112.5,111.3,1.2,76.8,54.2,14.3,31.0,20.4,54.1,13.8,71.5,17.6
UAT,UNION ATLETICA,22,107.6,107.6,-0.0,77.1,50.9,13.6,26.7,21.5,50.5,13.2,71.2,21.0
BIG,BIGUA,22,111.3,112.0,-0.7,79.4,53.5,13.1,27.2,18.8,52.8,13.9,66.0,17.9
GOE,GOES,22,103.1,112.8,-9.7,79.2,49.2,13.5,25.8,18.6,54.7,14.2,69.4,19.7
WEL,WELCOME,22,99.3,116.5,-17.2,81.3,51.0,15.6,18.3,18.9,54.6,13.6,65.7,21.6
COR,CORDON,22,99.6,117.4,-17.8,80.8,49.6,17.0,28.9,19.3,56.0,14.0,66.4,22.6
