matchId,status,closes,team1,team2,score1,score2,src
2741411,COMPLETE,True,HEBRAICA Y MACABI,UNION ATLETICA,84,81,cache
2741417,COMPLETE,True,URUNDAY UNIVERSITARIO,WELCOME,113,73,cache
2741419,COMPLETE,True,BIGUA,AGUADA,87,90,cache
2741421,COMPLETE,True,D SPORTING,GOES,102,91,cache
2741413,COMPLETE,True,MALVIN,CORDON,85,78,cache
2741427,COMPLETE,True,AGUADA,URUNDAY UNIVERSITARIO,118,105,cache
2741423,COMPLETE,True,D SPORTING,HEBRAICA Y MACABI,98,84,cache
2741415,COMPLETE,True,NACIONAL,PEÑAROL,62,87,cache
2741425,COMPLETE,True,GOES,BIGUA,82,89,cache
2741414,COMPLETE,True,CORDON,UNION ATLETICA,84,104,cache
2741429,COMPLETE,True,WELCOME,NACIONAL,106,117,cache
2741412,COMPLETE,True,PEÑAROL,MALVIN,89,79,cache
2741426,COMPLETE,True,BIGUA,D SPORTING,91,90,cache
2741416,COMPLETE,True,HEBRAICA Y MACABI,CORDON,80,76,cache
2741424,COMPLETE,True,URUNDAY UNIVERSITARIO,GOES,97,74,cache
2741430,COMPLETE,True,D SPORTING,URUNDAY UNIVERSITARIO,97,92,cache
2741420,COMPLETE,True,MALVIN,WELCOME,95,94,cache
2741418,COMPLETE,True,UNION ATLETICA,PEÑAROL,59,90,cache
2741422,COMPLETE,True,NACIONAL,AGUADA,82,79,cache
2741428,COMPLETE,True,BIGUA,HEBRAICA Y MACABI,84,74,cache
2741439,COMPLETE,True,PEÑAROL,CORDON,102,83,cache
2741435,COMPLETE,True,WELCOME,UNION ATLETICA,68,84,cache
2741431,COMPLETE,True,GOES,NACIONAL,86,102,cache
2741433,COMPLETE,True,AGUADA,MALVIN,94,82,cache
2741432,COMPLETE,True,URUNDAY UNIVERSITARIO,BIGUA,88,79,cache
2741440,INCOMPLETE,True,HEBRAICA Y MACABI,PEÑAROL,48,42,cache
2741443,COMPLETE,True,CORDON,WELCOME,98,81,cache
2741442,COMPLETE,True,UNION ATLETICA,AGUADA,107,92,cache
2741447,COMPLETE,True,MALVIN,GOES,84,80,cache
2741448,COMPLETE,True,NACIONAL,D SPORTING,80,61,cache
2741436,COMPLETE,True,BIGUA,NACIONAL,93,110,cache
2741434,COMPLETE,True,URUNDAY UNIVERSITARIO,HEBRAICA Y MACABI,75,92,cache
2741446,COMPLETE,True,WELCOME,PEÑAROL,80,102,cache
2741445,COMPLETE,True,GOES,UNION ATLETICA,78,62,cache
2741441,COMPLETE,True,AGUADA,CORDON,107,86,cache
2741444,COMPLETE,True,D SPORTING,MALVIN,76,92,cache
2741450,COMPLETE,True,HEBRAICA Y MACABI,WELCOME,96,72,cache
2741453,COMPLETE,True,MALVIN,BIGUA,90,89,cache
2741457,COMPLETE,True,NACIONAL,URUNDAY UNIVERSITARIO,104,70,cache
2741449,COMPLETE,True,UNION ATLETICA,D SPORTING,74,75,cache
2741454,COMPLETE,True,PEÑAROL,AGUADA,103,89,cache
2741451,COMPLETE,True,CORDON,GOES,94,85,cache
2741459,COMPLETE,True,AGUADA,WELCOME,112,82,cache
2741452,COMPLETE,True,NACIONAL,HEBRAICA Y MACABI,89,79,cache
2741456,COMPLETE,True,BIGUA,UNION ATLETICA,84,78,cache
2741461,COMPLETE,True,D SPORTING,CORDON,97,84,cache
2741455,COMPLETE,True,URUNDAY UNIVERSITARIO,MALVIN,70,76,cache
2741458,COMPLETE,True,GOES,PEÑAROL,88,81,cache
2741460,COMPLETE,True,HEBRAICA Y MACABI,AGUADA,79,78,cache
2741470,COMPLETE,True,CORDON,BIGUA,75,84,cache
2741476,COMPLETE,True,MALVIN,NACIONAL,82,75,cache
2741463,COMPLETE,True,WELCOME,GOES,73,83,cache
2741472,COMPLETE,True,UNION ATLETICA,URUNDAY UNIVERSITARIO,77,101,cache
2741485,COMPLETE,True,BIGUA,PEÑAROL,69,86,cache
2741478,COMPLETE,True,MALVIN,HEBRAICA Y MACABI,52,61,cache
2741464,COMPLETE,True,GOES,AGUADA,76,93,cache
2741482,COMPLETE,True,NACIONAL,UNION ATLETICA,88,72,cache
2741484,COMPLETE,True,URUNDAY UNIVERSITARIO,CORDON,123,77,cache
2741466,COMPLETE,True,PEÑAROL,D SPORTING,85,72,cache
2741481,COMPLETE,True,CORDON,NACIONAL,90,109,cache
2741475,COMPLETE,True,PEÑAROL,URUNDAY UNIVERSITARIO,85,58,cache
2741473,COMPLETE,True,WELCOME,BIGUA,86,98,cache
2741467,COMPLETE,True,HEBRAICA Y MACABI,GOES,106,63,cache
2741479,COMPLETE,True,UNION ATLETICA,MALVIN,72,78,cache
2741491,COMPLETE,True,PEÑAROL,NACIONAL,82,69,cache
2741488,COMPLETE,True,CORDON,MALVIN,77,91,cache
2741465,COMPLETE,True,WELCOME,URUNDAY UNIVERSITARIO,63,102,cache
2741486,COMPLETE,True,UNION ATLETICA,HEBRAICA Y MACABI,108,93,cache
2741490,COMPLETE,True,D SPORTING,WELCOME,103,82,cache
2741477,COMPLETE,True,BIGUA,GOES,110,106,cache
2741489,COMPLETE,True,UNION ATLETICA,CORDON,89,79,cache
2741474,COMPLETE,True,HEBRAICA Y MACABI,D SPORTING,91,90,cache
2741487,COMPLETE,True,MALVIN,PEÑAROL,67,89,cache
2741480,COMPLETE,True,URUNDAY UNIVERSITARIO,AGUADA,99,104,cache
2741492,COMPLETE,True,CORDON,HEBRAICA Y MACABI,81,92,cache
2741493,COMPLETE,True,PEÑAROL,UNION ATLETICA,88,80,cache
2741497,COMPLETE,True,D SPORTING,BIGUA,98,76,cache
2741494,COMPLETE,True,WELCOME,MALVIN,99,89,cache
2741496,COMPLETE,True,GOES,URUNDAY UNIVERSITARIO,86,100,cache
2741495,COMPLETE,True,AGUADA,NACIONAL,98,94,cache
2741498,COMPLETE,True,HEBRAICA Y MACABI,BIGUA,99,108,cache
2741500,COMPLETE,True,NACIONAL,GOES,99,79,cache
2741499,COMPLETE,True,URUNDAY UNIVERSITARIO,D SPORTING,78,80,cache
2741501,COMPLETE,True,MALVIN,AGUADA,89,72,cache
2741502,COMPLETE,True,UNION ATLETICA,WELCOME,91,75,cache
2741503,COMPLETE,True,CORDON,PEÑAROL,58,77,cache
2741468,COMPLETE,True,AGUADA,BIGUA,95,87,cache
2741471,COMPLETE,True,GOES,D SPORTING,99,92,cache
2741483,COMPLETE,True,NACIONAL,WELCOME,120,91,cache
2741504,COMPLETE,True,PEÑAROL,HEBRAICA Y MACABI,79,69,cache
2741514,COMPLETE,True,BIGUA,URUNDAY UNIVERSITARIO,87,74,cache
2741512,COMPLETE,True,GOES,MALVIN,83,86,cache
2741534,COMPLETE,True,D SPORTING,UNION ATLETICA,77,87,cache
2741505,COMPLETE,True,WELCOME,CORDON,73,86,cache
2741515,COMPLETE,True,HEBRAICA Y MACABI,URUNDAY UNIVERSITARIO,90,85,cache
2741517,COMPLETE,True,MALVIN,D SPORTING,85,76,cache
2741520,COMPLETE,True,PEÑAROL,WELCOME,107,74,cache
2741518,COMPLETE,True,UNION ATLETICA,GOES,96,76,cache
2741519,COMPLETE,True,CORDON,AGUADA,86,109,cache
2741516,COMPLETE,True,NACIONAL,BIGUA,97,73,cache
2741469,COMPLETE,True,AGUADA,D SPORTING,90,76,cache
2741536,COMPLETE,True,BIGUA,MALVIN,102,96,cache
2741523,COMPLETE,True,GOES,CORDON,76,72,cache
2741521,COMPLETE,True,WELCOME,HEBRAICA Y MACABI,95,77,cache
2741522,COMPLETE,True,AGUADA,PEÑAROL,91,80,cache
2741538,COMPLETE,True,URUNDAY UNIVERSITARIO,NACIONAL,97,94,cache
2741544,COMPLETE,True,CORDON,D SPORTING,84,90,cache
2741543,COMPLETE,True,UNION ATLETICA,BIGUA,86,79,cache
2741540,COMPLETE,True,HEBRAICA Y MACABI,NACIONAL,102,81,cache
2741542,COMPLETE,True,MALVIN,URUNDAY UNIVERSITARIO,86,64,cache
2741545,COMPLETE,True,PEÑAROL,GOES,95,76,cache
2741546,COMPLETE,True,WELCOME,AGUADA,86,74,cache
2741537,COMPLETE,True,BIGUA,CORDON,118,70,cache
2741533,COMPLETE,True,GOES,WELCOME,75,60,cache
2741541,COMPLETE,True,NACIONAL,MALVIN,79,53,cache
2741535,COMPLETE,True,D SPORTING,PEÑAROL,81,84,cache
2741539,COMPLETE,True,URUNDAY UNIVERSITARIO,UNION ATLETICA,76,79,cache
2741556,COMPLETE,True,CORDON,URUNDAY UNIVERSITARIO,78,106,cache
2741557,COMPLETE,True,PEÑAROL,BIGUA,98,76,cache
2741548,COMPLETE,True,WELCOME,D SPORTING,77,91,cache
2741549,COMPLETE,True,AGUADA,GOES,70,64,cache
2741551,COMPLETE,True,HEBRAICA Y MACABI,MALVIN,87,83,cache
2741513,COMPLETE,True,D SPORTING,NACIONAL,82,73,cache
2741506,COMPLETE,True,AGUADA,UNION ATLETICA,90,76,cache
