matchId,fase
2741411,Clasificatorio LUB 25/26
2741417,Clasificatorio LUB 25/26
2741419,Clasificatorio LUB 25/26
2741421,Clasificatorio LUB 25/26
2741413,Clasificatorio LUB 25/26
2741427,Clasificatorio LUB 25/26
2741423,Clasificatorio LUB 25/26
2741415,Clasificatorio LUB 25/26
2741425,Clasificatorio LUB 25/26
2741414,Clasificatorio LUB 25/26
2741429,Clasificatorio LUB 25/26
2741412,Clasificatorio LUB 25/26
2741426,Clasificatorio LUB 25/26
2741416,Clasificatorio LUB 25/26
2741424,Clasificatorio LUB 25/26
2741430,Clasificatorio LUB 25/26
2741420,Clasificatorio LUB 25/26
2741418,Clasificatorio LUB 25/26
2741422,Clasificatorio LUB 25/26
2741428,Clasificatorio LUB 25/26
2741439,Clasificatorio LUB 25/26
2741435,Clasificatorio LUB 25/26
2741431,Clasificatorio LUB 25/26
2741433,Clasificatorio LUB 25/26
2741432,Clasificatorio LUB 25/26
2741440,Clasificatorio LUB 25/26
2741443,Clasificatorio LUB 25/26
2741442,Clasificatorio LUB 25/26
2741447,Clasificatorio LUB 25/26
2741448,Clasificatorio LUB 25/26
2741436,Clasificatorio LUB 25/26
2741434,Clasificatorio LUB 25/26
2741446,Clasificatorio LUB 25/26
2741445,Clasificatorio LUB 25/26
2741441,Clasificatorio LUB 25/26
2741444,Clasificatorio LUB 25/26
2741450,Clasificatorio LUB 25/26
2741453,Clasificatorio LUB 25/26
2741457,Clasificatorio LUB 25/26
2741449,Clasificatorio LUB 25/26
2741454,Clasificatorio LUB 25/26
2741451,Clasificatorio LUB 25/26
2741459,Clasificatorio LUB 25/26
2741452,Clasificatorio LUB 25/26
2741456,Clasificatorio LUB 25/26
2741461,Clasificatorio LUB 25/26
2741455,Clasificatorio LUB 25/26
2741458,Clasificatorio LUB 25/26
2741460,Clasificatorio LUB 25/26
2741470,Clasificatorio LUB 25/26
2741476,Clasificatorio LUB 25/26
2741463,Clasificatorio LUB 25/26
2741472,Clasificatorio LUB 25/26
2741485,Clasificatorio LUB 25/26
2741478,Clasificatorio LUB 25/26
2741464,Clasificatorio LUB 25/26
2741482,Clasificatorio LUB 25/26
2741484,Clasificatorio LUB 25/26
2741466,Clasificatorio LUB 25/26
2741481,Clasificatorio LUB 25/26
2741475,Clasificatorio LUB 25/26
2741473,Clasificatorio LUB 25/26
2741467,Clasificatorio LUB 25/26
2741479,Clasificatorio LUB 25/26
2741491,Clasificatorio LUB 25/26
2741488,Clasificatorio LUB 25/26
2741465,Clasificatorio LUB 25/26
2741486,Clasificatorio LUB 25/26
2741490,Clasificatorio LUB 25/26
2741477,Clasificatorio LUB 25/26
2741489,Clasificatorio LUB 25/26
2741474,Clasificatorio LUB 25/26
2741487,Clasificatorio LUB 25/26
2741480,Clasificatorio LUB 25/26
2741492,Clasificatorio LUB 25/26
2741493,Clasificatorio LUB 25/26
2741497,Clasificatorio LUB 25/26
2741494,Clasificatorio LUB 25/26
2741496,Clasificatorio LUB 25/26
2741495,Clasificatorio LUB 25/26
2741498,Clasificatorio LUB 25/26
2741500,Clasificatorio LUB 25/26
2741499,Clasificatorio LUB 25/26
2741501,Clasificatorio LUB 25/26
2741502,Clasificatorio LUB 25/26
2741503,Clasificatorio LUB 25/26
2741468,Clasificatorio LUB 25/26
2741471,Clasificatorio LUB 25/26
2741483,Clasificatorio LUB 25/26
2741504,Clasificatorio LUB 25/26
2741514,Clasificatorio LUB 25/26
2741512,Clasificatorio LUB 25/26
2741534,Clasificatorio LUB 25/26
2741505,Clasificatorio LUB 25/26
2741515,Clasificatorio LUB 25/26
2741517,Clasificatorio LUB 25/26
2741520,Clasificatorio LUB 25/26
2741518,Clasificatorio LUB 25/26
2741519,Clasificatorio LUB 25/26
2741516,Clasificatorio LUB 25/26
2741469,Clasificatorio LUB 25/26
2741536,Clasificatorio LUB 25/26
2741523,Clasificatorio LUB 25/26
2741521,Clasificatorio LUB 25/26
2741522,Clasificatorio LUB 25/26
2741538,Clasificatorio LUB 25/26
2741544,Clasificatorio LUB 25/26
2741543,Clasificatorio LUB 25/26
2741540,Clasificatorio LUB 25/26
2741542,Clasificatorio LUB 25/26
2741545,Clasificatorio LUB 25/26
2741546,Clasificatorio LUB 25/26
2741537,Clasificatorio LUB 25/26
2741533,Clasificatorio LUB 25/26
2741541,Clasificatorio LUB 25/26
2741535,Clasificatorio LUB 25/26
2741539,Clasificatorio LUB 25/26
2741556,Clasificatorio LUB 25/26
2741557,Clasificatorio LUB 25/26
2741548,Clasificatorio LUB 25/26
2741549,Clasificatorio LUB 25/26
2741551,Clasificatorio LUB 25/26
2741513,Clasificatorio LUB 25/26
2741506,Clasificatorio LUB 25/26
2741547,Clasificatorio LUB 25/26
2741554,Clasificatorio LUB 25/26
2741552,Clasificatorio LUB 25/26
2741553,Clasificatorio LUB 25/26
2741558,Clasificatorio LUB 25/26
2741559,Clasificatorio LUB 25/26
2741555,Clasificatorio LUB 25/26
2741550,Clasificatorio LUB 25/26
2818425,Reclasificatiorio LUB 25/26
2818423,Reclasificatiorio LUB 25/26
2818427,Reclasificatiorio LUB 25/26
2818428,Reclasificatiorio LUB 25/26
2818429,Reclasificatiorio LUB 25/26
2818432,Reclasificatiorio LUB 25/26
2818431,Reclasificatiorio LUB 25/26
2818430,Reclasificatiorio LUB 25/26
2818434,Reclasificatiorio LUB 25/26
2818435,Reclasificatiorio LUB 25/26
2818433,Reclasificatiorio LUB 25/26
2818437,Reclasificatiorio LUB 25/26
2818438,Reclasificatiorio LUB 25/26
2818436,Reclasificatiorio LUB 25/26
2820505,Reclasificatiorio LUB 25/26
2820504,Reclasificatiorio LUB 25/26
2820506,Reclasificatiorio LUB 25/26
2818410,Titulo LUB 25/26
2818409,Titulo LUB 25/26
2818414,Titulo LUB 25/26
2818412,Titulo LUB 25/26
2818417,Titulo LUB 25/26
2818416,Titulo LUB 25/26
2818419,Titulo LUB 25/26
2818418,Titulo LUB 25/26
2818420,Titulo LUB 25/26
2818411,Titulo LUB 25/26
2818424,Titulo LUB 25/26
2818421,Titulo LUB 25/26
2818422,Titulo LUB 25/26
2820490,Titulo LUB 25/26
2820491,Titulo LUB 25/26
2818415,Titulo LUB 25/26
2820494,Titulo LUB 25/26
2820492,Titulo LUB 25/26
2818413,Titulo LUB 25/26
2820496,Titulo LUB 25/26
2820497,Titulo LUB 25/26
2820489,Titulo LUB 25/26
2820495,Titulo LUB 25/26
2820493,Titulo LUB 25/26
2820500,Titulo LUB 25/26
2820499,Titulo LUB 25/26
2820498,Titulo LUB 25/26
2820502,Titulo LUB 25/26
2820503,Titulo LUB 25/26
2820501,Titulo LUB 25/26
2845313,Playoffs LUB 25/26
2845312,Playoffs LUB 25/26
2845326,Playoffs LUB 25/26
2845324,Playoffs LUB 25/26
2845325,Playoffs LUB 25/26
2845327,Playoffs LUB 25/26
2845329,Playoffs LUB 25/26
2845328,Playoffs LUB 25/26
2845331,Playoffs LUB 25/26
2845330,Playoffs LUB 25/26
2845333,Playoffs LUB 25/26
2845332,Playoffs LUB 25/26
2848736,Playoffs LUB 25/26
2849512,Playoffs LUB 25/26
2849871,Playoffs LUB 25/26
2849872,Playoffs LUB 25/26
2849873,Playoffs LUB 25/26
2850693,Playoffs LUB 25/26
2850694,Playoffs LUB 25/26
2850995,Playoffs LUB 25/26
2853458,Playoffs LUB 25/26
2853460,Playoffs LUB 25/26
